0.5454545454545454	4	 It is good the third point underlined by Julian Huxley .	 This is , indeed , the third point underlined by Julian Huxley .	1.0
1.0	3	 The hallucinations are the images that form in the brain , which is why they seem so real . ''	 Hallucinations are also images that form in the brain , which is why they seem so real . ''	1.5
0.8135593220338982	6	 Initially , this leaves many governments sceptical , but they have come to realise , as it is said to Washington , that this was the only thing to do .	 Initially , this retreat leaves many governments sceptical , but they have come to realize , as they say in Washington , that this was the only thing to do .	3.2
0.9803921568627451	1	 The final blow was dealt with the government decided -LRB- in full crisis -RRB- to keep the bank deposits fixed rate in dollar and putting the debt from banks in pesos , putting it into bankruptcy , the entire financial system of the nation by a stroke of a pen .	 The final blow was dealt when the government decided -LRB- in full crisis -RRB- to keep the bank deposits fixed rate in dollar and putting the debt from banks in pesos , putting it into bankruptcy , the entire financial system of the nation by a stroke of a pen .	0.0
0.5909090909090909	10	 the European Parliament , like the Article29 Group -LRB- which comprises the European CNIL -RRB- , shouted down over the scandal .	 The European Parliament , like the Article29 Group -LRB- which comprises the European CNIL - Date Protection Agencies -RRB- , made an outcry .	2.2222222222222223
0.9714285714285714	10	 the question is deliberately provocative , but it is nonetheless topical since it learned the newspaper 's decision to put an end to four of its seven local blogs : LibÃ © Rennes , LibÃ © Lille , LibÃ © Strasbourg and LibÃ © OrlÃ © ans .	 The question is deliberately provocative but is nonetheless topical since we have learned of the newspaper 's decision to put an end to four of its seven local blogs : LibéRennes , LibéLille , LibéStrasbourg and LibéOrléans .	2.4210526315789473
0.37499999999999994	10	 Without a great match , the yellow and black people have created the largest number of occasions and have managed to turn a profit for the match .	 Without playing a great match , the Yellows and the Blacks created for themselves the greater number of opportunities and succeeded in converting one into the match victory .	1.75
0.7472527472527473	10	 However , those four countries agree that Syrian influence in Lebanon must be contained , and they are in favour , in theory , to disarm Hezbollah demanded by the Security Council resolution 1559 , even if their views differ on how to get there .	 Nevertheless , these four countries agree that Syrian influence in Lebanon must be contained , and they are in favor , at least in theory , of the disarmament of Hezbollah as called for in Security Council Resolution 1559 , even if their views differ on how to accomplish it .	2.933333333333333
0.7692307692307692	2	 The railways have newly signed a contract for ten years , until now the duration was always a year .	 The railways have newly signed a contract for ten years , until now the duration was always of one year .	0.0
1.0	2	 According to unofficial information , it seems that perhaps we could host the first virtual operator already by the end of the year .	 According to unofficial information , it seems that perhaps we could already host the first virtual operator by the end of the year .	5.0
0.8235294117647058	5	 It is certain that they can be made redundant at any time , but can only be for political reasons .	 It is certain that they can be fired at any time , but they ca n't be for political reasons .	2.0
0.9	7	 That would have pleased me to see again you !	 I would have been very pleased to me see you again !	1.3333333333333333
0.896551724137931	6	 It is very disturbing to take somebody 's life , even a murderer , but sometimes acts of extremely unpleasant are necessary to prevent behaviour worse with the deaths of innocent victims .	 It is very disturbing to take somebody 's life , even a murderer , but sometimes extremely unpleasant acts are necessary to prevent worse behaviour that causes the deaths of innocent victims .	2.0
0.9166666666666666	10	 The project has turned into a anthologie the intoxicating spirit of flamenco , which will soon be published in a book of collection of portraits exposed to the gallery .	 The project has turned into an anthology of flamenco , which will soon be published in a album of portraits exhibited at the gallery .	2.3333333333333335
1.0	4	 Unfortunately it did not manage the Ko as expected .	 Unfortunately he did n't pass the KO as expected .	1.6666666666666667
0.5494505494505495	10	 When it is in class , sometimes it can follow the course because the professor is just trying to present a new pupil in his eyes and ears when it is invisible to others and that the professor is obviously going to explain the equations in the picture .	 When she is in class , sometimes she can not follow the course because , to her eyes and ears , the professor seems to be introducing a new pupil who is invisible to the others , even though the professor is obviously in the midst of explaining some equations at the blackboard .	1.7037037037037037
0.7906976744186046	10	 My father , at about eighteen years , went to the university and they did not speak to each other any more hanging some year .	 My father , when he was about eighteen , went to university and they did not speak to each other for several years .	2.3333333333333335
0.7804878048780488	10	 We can imagine the risk which would contain this type of aggregation of the data for the activists on the ground , if one day she fell into the hands of one of the authoritarian diets , which would rub itself hands .	 We can imagine the risk that this type of data aggregation would present for the activists on the ground if , some day , it fell into the hands of one of the authoritarian regimes , which would be rubbing its hands .	2.3333333333333335
0.6666666666666666	10	 Bernal revint to Cambridge as professor of cristallographie structural in 1927 and was promoted as the assistant director of research in cristallographie in 1923 , a sous-département of Cavendish Laboratory .	 Bernal came back to Cambridge as a structural crystallography professor in 1927 and was promoted as assistant director of research in crystallography in 1923 , at this time a sub-department of Cavendish Laboratory .	2.4545454545454546
0.7619047619047619	9	 The 10 new countries in Europe next year , and even the Balkan country now are being offered the possibility of belonging to the future , are all in a traditional definition of Europe .	 The 10 new countries joining the union next year , and even the Balkan countries that are now being offered the possibility of membership in the future , are all included in a traditional definition of Europe .	3.25
0.8400000000000001	10	 New Zealand , in English New Zealand , in Maori of New Zealand Aotearoa , is a country of Oceania , in southwest of the Pacific Ocean , established by two main islands -LRB- the island of the North and the island of the South -RRB- , and of numerous much smaller islands , in particular the island Stewart and islands Chatham .	 New Zealand , in English New Zealand , in Maori New Zealand Aotearoa , is a country of Oceania , in the southwest of the Pacific Ocean , formed by two main islands -LRB- North Island and South Island -RRB- , and numerous much smaller islands , in particular Stewart Island and the Chatham Islands .	2.9444444444444446
1.0	1	 But these values are deeply rooted in Europe and they must be uprooted again .	 But these values are deeply rooted in Europe and they must be uprooted anew .	0.0
0.2545454545454545	10	 The doctors named Friday to submit a report before 10 March 2010 by saying , especially if Liliane Bettencourt could find themselves in the state of weakness and what periods .	 The doctors named on Friday must submit a report before March 10 , 2010 , particularly saying whether Liliane Bettencourt could have been in a weakened state and during what periods .	1.6
0.631578947368421	4	 The list price of these firms are generally only to members .	 The price lists of these firms are generally known only by members .	2.6666666666666665
1.0	1	 Obama has stressed that it represents the future .	 Obama has stressed that he represents the future .	0.0
0.7727272727272727	9	 in France , car-pooling on long journeys is increasingly followers , to the point that the motorway networks will soon create parking areas specifically addressed .	 In France , car-pooling on long journeys is winning increasing numbers of followers , to the point that the motorway networks will soon create specially dedicated parking areas .	3.0
0.8809523809523809	10	 Gates , who was to return to Washington late on Friday , met this morning , the Iraqi Prime Minister Nouri al-Maliki , before flying to the oil rich region in order derencontrer Kurdish leaders of troops in Kirkuk , Kurdish and Irbil .	 Gates , who was to return to Washington late on Friday , has met during the morning , Iraqi Prime Minister Nouri al-Maliki , before flying to the oil rich region of Kurdish in order to meet the leaders of the troops in Kirkuk , Kurdish and Irbil .	3.2222222222222223
0.8461538461538461	6	 This is not just a matter of money : the cash flows across the Indian central bank has mainly invested in Treasury bonds with low yields .	 This is not just a matter of money : cash flows to the Indian central bank that has mainly invested it in foreign treasury bonds with low yields .	2.8
0.631578947368421	1	 Instead , almost every activity of the government is corporate profits and , subsequently , the securities market .	 Instead , almost every activity of the government affects corporate profits and , subsequently , the securities market .	0.0
0.8000000000000002	9	 This is why I can not remain silent when Europe wherever indiscriminately in a new appeasement .	 That 's why I can not remain silent as Europe stumbles blindly into deference .	1.875
0.8571428571428572	5	 the entirety of the sum will be paid to a charity : am I the only one to think that offer to his next fix of caffeine to a foreigner is not what we should concern ourselves today ?	 the entirety of the sum will be paid to a charity : am I the only one to think that to offer ones next fix of caffeine to a stranger is not what we should concern ourselves with today ?	4.25
0.9583333333333334	2	 `` As the liberals who preceded us , we thought differently to transform the challenges in new opportunities for growth and development . ''	 `` As the liberals who preceded us , we thought differently to transform the challenges into new opportunities of growth and development . ''	3.0
1.0	1	 For now , not super heroes .	 For now , no super heroes .	0.0
1.0	1	 We chose to base ourselves on the value of the euro so that the storekeepers are not forced to change all their price .	 We chose to base ourselves on the value of the euro so that the storekeepers are not forced to change all their prices .	0.0
0.9722222222222222	9	 In addition to his refusal to admit global warming , to encourage energy savings or allocate sufficient funds for further research , the great promise for Bush to reduce America 's dependence on Middle East oil does not mean much .	 Besides his refusal to admit global warming , to encourage energy savings or to allocate sufficient funds to further research , Bush 's great promise to reduce America 's dependence on Middle East oil does not mean much .	3.25
0.7189542483660132	10	 While you can read many examples , such as the girlfriend who is easily understandable to view photos of the morning , taken by the circle of friends in common , with which his friend unfaithful has spent the evening , or the society that has dismissed one of its employees , for the honest opinions that he wrote on his blog on the top management , we can be on one thing : the end of privacy is completely to reconsider these days .	 While you may know of many examples , such as the girlfriend who understands on viewing photos in the morning , taken with a circle of common friends , with which her unfaithful boyfriend has spent the evening , or the society that has dismissed one of its employees , for the honest opinions that he wrote on his blog about the top management , we can be sure of one thing : private life needs to be completely reconsidered these days .	3.0384615384615383
0.30769230769230765	10	 The complaint of the government against the proposals of Social Democrats was the fact that they have increased by passing the budget deficit .	 The government 's complaint about the Social Democrats ' proposals was that they have been indirectly increasing the budget deficit .	1.5
0.0	7	 You can choose conseillera .	 We will advise you how to choose .	0.5
1.0	2	 The collective response , adopted in 2000 , was the `` Lisbon strategy , '' which aims to make the European Union `` the most dynamic economy and more competitive in terms of knowledge in the world '' in 2010 .	 The collective response , adopted in 2000 , was the `` Lisbon strategy , '' which aims to make the European Union `` the most dynamic economy and the most competitive in terms of knowledge in the world '' in 2010 .	0.0
0.9787234042553191	9	 In the overthrow of colonial leaders of Southeast Asia four decades ago , the Chinese Ethnic often have fled the nationalist movement fighting for independence .	 At the time of the overthrow of colonial leaders of Southeast Asia four decades ago , the ethnic Chinese often fled nationalist movements fighting for independence .	2.625
0.9714285714285713	9	 The European Commission estimates that the deficit in the French government will reach 3.7 % of GDP this year , compared to 3.4 % in Germany ; these figures go well beyond the ceiling of the deficit -LRB- 3 % of GDP -RRB- set by the stability and growth of the euro zone .	 The European Commission estimates that the deficit of the French government will reach 3.7 % of the GDP this year , against 3.4 % for Germany ; these figures go well beyond the ceiling of the deficit -LRB- 3 % of GDP -RRB- defined by the Stability and Growth Pact of the euro zone .	5.25
1.0	7	 We are going to bed at two and a half hours .	 We go to bed at one thirty .	1.5
1.0	2	 We shall be happy to welcome you there .	 We will be happy to welcome you here .	6.0
0.68	2	 One theory put forward by the New York Historical Society and other would be that this name was popularized by the columnist John FitzGerald .	 One theory put forward by the New York Historical Society and other people suggests that this name was popularized by the columnist John FitzGerald .	1.0
0.8187919463087249	10	 today , a schoolboy who resides in a suburban cities where , according to the news of the first chain , '' the police no longer dare enter Â '' , can find the information for his presentation on Victor Hugo as well as an inhabitant of the '' beautiful Â '' neighbourhoods , because if her parents have not invested in an encyclopedia in twenty-five Tomes , became nonetheless National through his computer or his mobile phone .	 Today , a schoolboy who resides in an inner-city area where , according to the news of the leading TV channel , `` the police no longer dare enter '' , can find the information for his presentation on Victor Hugo just as well as an inhabitant of the `` salubrious neighborhoods '' , because if his parents have not invested in an encyclopedia in twenty-five Tomes , he can nevertheless access Wikipedia via his computer or his mobile phone .	3.55
0.4166666666666667	3	 In the time , the use of databases remains still trivial .	 At the time , the use of databases still remained trivial .	4.5
0.29629629629629634	10	 With the festival `` sing popular mines , '' Bauer began in 1997 a long trip to photograph the singers , dancers guitaristes or with a camera to mark .	 With the festival called `` Chant Populaire des Mines '' in 1997 , Bauer began a long trip to photograph singers , guitarists and dancers with a camera that used photographic plates .	2.076923076923077
0.8372093023255814	3	 their only answer is to buy a bigger car when gasoline is cheap , and vice versa when the price goes back .	 Their only answer is to buy a bigger car when gasoline is cheap and vice versa when the price goes back up .	11.0
0.9189189189189189	7	 Suicides at France Telecom , PSA and Renault are only the tip of something much more general particularly managers .	 Suicides at France Telecom , PSA or Renault are only the visible part of a much more general phenomenon which hits particularly managers .	2.3333333333333335
0.8051948051948051	10	 Of course we have filed complaints in the office of the neighborhood , even if we doubt that it is used to much , and not to touch the sensitivities , we want to just say that the cowardly killers were Spanish .	 Of course we filed a complaint at the neighborhood police station even though we doubt that much will come of it , and , though we do n't want to offend any sensitivities , we just want to say that the cowardly killers were Spanish .	1.5217391304347827
0.8461538461538461	3	 This law imposing a stamp duty on newspapers and official documents British provoked the meeting in New York of the Stamp Act Congress in October .	 This law imposing a stamp duty on British newspapers and official documents led to the meeting in New York of the Stamp Act Congress in October .	2.5
0.972972972972973	4	 gradually , other parents will follow suit and soon , the club can buy equipment through the Chiemgauer ! ''	 Gradually , other parents will follow suit and soon the club can buy equipment thanks to the Chiemgauer ! ''	5.0
0.6325581395348837	10	 and if possible in the form of real things analogue : a photo taken at Paros in the Cyclades a 1990 blue Klein blue slap on whiteness limed homes ; the pebble circle which I spoke rather loudly ; a hint of lavender picked one day in the mountains by my older daughter ; a strand of hair from his youngest daughter ; a moment to two beaming light on the roof of the Gaudi house in Barcelona ... and so many other things palpable , exhalant a perfume of fresh nostalgia , a moment of happiness , of grace or love that will never digitization express otherwise than by a pale copy ghost . ''	 And , if possible , in the form of real , analog things : a photo taken at Paros in the Cyclades in summer 1990 where the Klein blue blue of the background contrasts strikingly with whiteness of the lime-washed houses ; the round pebble from Etretat of which I spoke above ; a sprig of lavender picked one day in the mountains by my older daughter ; a strand of hair from her younger sister ; a moment of intimacy radiant with light on the roof of the Gaudi house in Barcelona ... and so many other palpable things , exhaling a perfume of sweet nostalgia , a moment of happiness , of grace or love that digitization will never express otherwise than by a pale , ghostly copy . ''	3.0
0.7499999999999999	5	 Even if it launches the machine , the network will be built by one .	 Even if he launches the machine , the network will have to be built piece by piece .	3.0
1.0	1	 `` We report extremely well , despite what people think . ''	 `` We communicate extremely well , despite what people think . ''	0.0
0.8333333333333334	10	 Even if Prime Minister will remain only decision-maker , the Council of orientation of the public edition and the administrative information , a grouping of public and private actors , will have to return an opinion before any decision .	 Even if the Prime Minister will remain the only decision-maker , the Steering committee on Public Edition and Administrative Information , a grouping of public and private actors , will have to give an opinion before any decision .	2.5833333333333335
0.7450980392156863	6	 If you consider that the country 's political system has long been very predictable , producing with regularity , governments that promised more than they could implement .	 If one considers that the country 's political system has long been very predictable , consistently producing governments that promised more than they could implement .	3.4
0.7857142857142857	2	 Srebrenica and the massacre of thousands of Muslims under the false protection of the UN ?	 of Srebrenica and of the massacre of thousands of Muslims under the false protection of the UN ?	3.0
0.8181818181818182	6	 The world economy hangs in the vacuum , just when the history of capitalism , one of the biggest changes took place .	 The world economy hangs in the vacuum , just at the moment when in the history of capitalism , one of the biggest changes is taking place .	3.0
0.8333333333333334	10	 The crisis cambiaire East Asia was then put the actions in expectations and raised serious questions about the date of the resumption of actions and the need to pursue the gold .	 The fiduciary crisis of East Asia then put the designated stocks on hold and raised serious questions about the date of the resumption of trading and the need to pursue convertibility .	3.2222222222222223
0.8823529411764706	5	 Since then , the structural analysis by radiographic protein molecules enabled us to understand the biological chemical reactions .	 Since then , structural analysis by radiographic protein molecules has enabled us to understand the chemistry of biological reactions .	3.25
1.0	1	 Following the study of the site , the island of Beckholmen in Sweden in the city of Stockholm , we note that it is a task of greenery -LRB- 10 hectares -RRB- in a very dense city .	 Following the study of the site , the island of Beckholmen in Sweden in the city of Stockholm , we note that it is a splash of greenery -LRB- 10 hectares -RRB- in a very dense city .	0.0
0.7058823529411765	4	 Strong involvement in Copenhagen and in the world climate	 Strong mobilization in Copenhagen and across the world concerning the climate	2.6666666666666665
0.6470588235294118	6	 To pay the debt means essentially today looking some money to the holders of the French Treasury bonds .	 Paying the debt now essentially means giving some money to the holders of French Treasury bonds .	2.8
1.0	2	 The saga of Meat Loaf will be honoured .	 The saga of Meat Loaf must be honored .	2.0
0.36363636363636365	7	 Such thoughts geo-strategic does , however , that one of the facets .	 However such geo-strategic thoughts reflect only one of the facets .	1.1666666666666667
0.8148148148148148	4	 This episode so showed us that the precautionary principle which we applied had of the sense . ''	 This episode showed us that the precautionary principle which we applied made sense . ''	4.0
0.8000000000000002	4	 We are very happy to have of your news .	 We are very happy to recieve news of you .	1.0
1.0	4	 The Radicals , to see the American invasion of Iraq as a reflection of America 's willingness to encircle Iran .	 The Radicals see the American invasion of Iraq as a reflection of America 's desire to contain Iran .	5.333333333333333
0.0	10	 To lead this investigation it `` interview '' supposes of time .	 To carry out this survey face-to-face presumes time is available .	1.0
0.8571428571428571	4	 Stephen Timms , Treasury secretary , has brought an increase in tax and pointed out that cutting spending was a `` drop in the ocean '' compared to what was needed .	 Stephen Timms , Treasury Secretary , has refuted an increase of the tax and pointed out that cutting spending was a `` drop in the ocean '' compared to what was needed .	2.0
0.7659574468085107	10	 The 1960s ended by a collapse of the ` system ' and a major financial turmoil , accompanied by a wave of inflation , prices for goods .	 The 1960s ended with the collapse of the `` system '' and major financial turmoil , including an inflationary surge in commodity prices .	1.7692307692307692
0.4000000000000001	6	 Thank you for taking this Email because this time you are going too far .	 Please take this email into account because this time you are going too far .	1.0
0.7941176470588236	10	 This would be more `` regrettable '' , `` the death and the changes that include a divorce for every child should be new rekindled in public '' for their son of 16 years , Jack . ''	 Moreover it would be `` regrettable '' , that `` the sorrow and the upsets included by a divorce for every child should be rekindled again in public '' for their 16-year-old son , Jack . ''	2.5384615384615383
0.9	8	 If you 're interested , I know another radio near calais -LRB- deck chair -RRB- who agree to work with you .	 If you are interested , I know another radio station near Calais -LRB- Transat FM -RRB- that also agrees to work with you .	2.0
0.7540983606557378	8	 The full programme that will then and his wife at a banquet , including , in addition to the king and queen of Norway , the head of government and 250 other guests .	 His busy programme will then take him along with his wife to a banquet , including , in addition to the king and queen of Norway , the head of government and 250 other guests .	1.2857142857142858
0.723404255319149	7	 For them , the territories of Jewish Heritage , which explains their insistence on the West Bank by its historical Hebrew name : the judée and samarie .	 For them , the territories represent a Jewish patrimony , which explains their insistence on calling the West Bank by its historical Hebrew name : Judea and Samaria .	3.5
1.0	1	 The price is EUR 250 per week , and 10 % reduction on the second week , 250 + 225 = 475 euros .	 The price is EUR 250 per week , and a 10 % reduction on the second week , 250 + 225 = 475 euros .	0.0
0.8918918918918919	6	 While Fischer decides to continue the fight against the budget deficit , ne?as believes that representatives of the ? ssd , which have forced changes to the budget , do not have their place in the government .	 If Fischer decides to continue the fight against the budget deficit , Ne?as believes that the representatives of the ? SSD , who forced changes to the budget , do not have their place in the government .	4.4
0.41025641025641024	10	 Superpredator , he hunts mainly deers and wild boars , although he can attack preys of more important size as buffaloes .	 Superpredators , they mainly hunt deers and wild boars , although they can attack larger preys such as buffaloes .	2.0
0.9148936170212766	9	 If the formula S = k log W is engraved on the grave of Boltzmann and what we dedicate such a worship to the famous equation E = mc ² of Einstein , it is doubtless that we are seized by the immense reach of formulae so concise .	 If the formula S = k log W is engraved on Boltzmann 's tomb and what we devote such worship to the famous equation E = mc ² of Einstein , it is doubtless that we are seized by the immense reach of such concise formulae .	4.5
0.4444444444444445	10	 To define her discursive renovation , she quotes gladly Georges Bernanos 's aphorism : '' there is a left bourgeoisie and a right bourgeoisie .	 To define her discursive renovation , she gladly quotes Georges Bernanos 's aphorism : `` There is a bourgeoisie of the left and a bourgeoisie of the right .	1.6363636363636365
1.0	5	 Next year , there will still need visas to go to États-unis ?	 Next year , will there still be need visas to go to United States ?	2.25
1.0	2	 The purpose of this prestigious box is to learn to enjoy a Pomerol wine and identify the main flavourings .	 The purpose of this prestigious box is to learn to enjoy some Pomerol wine and identify the main flavours .	7.0
0.8333333333333333	6	 The political world of Israel is going through the changes the more impressive than it has seen for 30 years ago .	 The political world of Israel is going through the most impressive changes it has seen in 30 years .	2.4
0.8000000000000002	10	 The decision to defend South Korea against the attacks against it in 1950 was taken by the council only because Stalin had ordered his diplomats to boycott the sessions of the UN , which meant that no Soviet ambassador was present to exercise its right of veto .	 In fact , the decision to defend South Korea in the attacks against it in 1950 was taken by the Council only because Stalin had ordered its diplomats to boycott sessions of the UN , implying that no Soviet Ambassador was present to exercise his veto rights .	3.2857142857142856
0.8732394366197184	9	 The extension would be far too simplistic : the institutions are much stronger , poverty , and particularly poverty , has been reduced and the struggles of ownership of natural resources have generally been settled .	 The generalization would be far too simplistic : at any rate , institutions are much stronger , poverty , and particularly extreme poverty , has been reduced , and struggles over ownership of natural resources have generally been settled .	3.125
0.7857142857142857	6	 For Louis Alliot , vice-president of the FN , it is an evidence which does not dispute : '' in 2012 , the campaign will be digital .	 For Louis Alliot , vice-president of the FN , it is a self-evidence which is beyond dispute : `` In 2012 , the campaign will be digital .	1.6
0.9166666666666666	3	 Bush is still refuses to act in favour of energy savings and spend very little money to support his continued prayer of salvation .	 Bush is still refusing to act in favor of energy savings and spending very little money to support his continued prayer of salvation .	4.5
0.8571428571428571	5	 The American side of the Atlantic , the usefulness of those fiscal stabilisers is not in doubt .	 On the american side of the Atlantic , the usefulness of these fiscal stabilizers is not in doubt .	3.0
1.0	3	 A Handbook on the Israeli hawks	 A Practical Handbook to the Israeli Hawks	2.0
0.6666666666666667	10	 But on the last four weeks , the average number of new job seekers `` fell to the lowest for a year '' , said Scott Marcouiller , Wells Fargo Advisors .	 But over the last four weeks , the average of the number of new job-seekers '' fell at the lowest for one year '' , Said Scott Marcouiller , of Wells Fargo Advisors .	3.2222222222222223
0.6666666666666667	8	 But , conservatives have always strongly in the southern region , important key to the Hungarian economy . In the future , they will be forced to the coalition .	 But , conservatives have always had a strong presence in the southern region , which is an important key to the Hungarian economy . In the future , they will be forced to join the coalition .	4.0
0.5591397849462365	10	 Janey , now superintendant schools in Newark , said in an interview this week , that one of the essential elements to reduce the gap of success étaitla duration of traditional public school today , 180 days in the District of Washington , to be in competition with the charter schools .	 Janey , now superintendant of schools in Newark , declared in an interview this week that one of the essential elements in reducing the achievement gap was for the traditional public school year length , currently at 180 days in the District of Washington , to be competitive with the charter schools .	2.625
0.28571428571428575	3	 Europe needs most of conviction .	 Europe especially needs conviction .	1.0
0.7419354838709677	6	 In all cases , the fact that the Bush administration to pass tests on the candidates for key posts in order to determine their compatibility with its `` values '' is not really worrying .	 In any case , the fact that the Bush administration makes candidates for key posts pass tests in order to determine their compatibility with its `` values '' is not really disturbing .	6.4
0.0	2	 How is the ` new ' anthem	 How does the ` new ' anthem sound	6.0
0.9600000000000001	10	 Any political force which will try to manipulate the auction by promising that it can do is doomed to defeat .	 Any political force that tries to manipulate elections is doomed to fail .	1.4545454545454546
1.0	3	 more recently , two other elected NF posed problems .	 More recently , two other NF elected representatives posed problems .	3.0
0.896551724137931	5	 Between `` soft law '' and `` hard law , '' it wants to show how a sum of special interests can contribute to achieving the collective interest , participate in the `` public good '' to a more sustainable and inclusive society .	 Situated between `` soft law '' and `` hard law , '' it aims to show how a sum of special interests can contribute to achieving the collective interest , participating in the `` public good '' of a more sustainable and inclusive society .	9.0
0.3913043478260869	10	 In the 1990s , despite an increase in output , have been a significant deflation means that the potential yield of India is growing .	 Indeed , the 1990 's , despite an overall yield increase , have experienced significant deflation that implies that the overall performance potential of India is developing .	1.6428571428571428
0.7317073170731706	10	 Sam Odio , an entrepreneur a little irritated by the good feelings emanating from this experiment in which the cuts offer coffees to the cuts - '' yuppies buy other yuppies coffee '' - decided to bend over the card Starbucks de Jonathan , and to divert her from his initial objective .	 Sam Odio , an entrepreneur a little irritated by the good feelings emanating from this experiment in which yuppies buy other yuppies coffee decided to get to grips with Jonathan 's Starbucks card and to divert it from its initial purpose .	1.5714285714285714
0.5526315789473685	10	 Among the companies concerned , we will find , among others , clásicos of Mos and good old times , experts on sales of automobiles , Juan Lumbreras , restaurants , coupe-francisco pueche , sale and restoration of cars , or cochera clásicos , Mercedes Benz .	 Among the participants , we will find among others the companies Clásicos de Mos and Good Old Times , experts in car sales , Juan Lumbreras , catering , Coupe-Francisco Pueche , car sales and restoration , or Cochera Clásicos , Mercedes Benz specialist .	2.0
0.4838709677419355	10	 Similarly , in the summer of 2002 , the bill on behalf of the foundation jobb jöv?ért which will bear the name of együtt has harmadik Évezredért , grouillait mistakes of form and content .	 Similarly , during summer 2002 , the bill on behalf of Jobb Jöv?ért foundation which will bear the name of Együtt in Harmadik Évezredért , was full of style and spelling mistakes .	2.2142857142857144
0.8148148148148148	10	 The ? tÚ -LRB- the Czech office , which indicated that the price of an SMS was higher here than in the rest of the Union , has confirmed .	 The CTU -LRB- The Czech Telecommunications Office -RRB- , who indicated that the price of an SMS was higher here than in the rest of the Union , has confirmed it as well .	3.5555555555555554
1.0	1	 As far as I am concerned everything is super .	 As far as I am concerned everything is great .	0.0
0.9375000000000001	10	 We wanted to do something that catches people and their desire to know more , said outside the conference Edouard Hannezo , 22 years ago , one of the organisers of this day , which takes its name from the one given by the pupils to fish in school .	 We wanted to do something that catches people and makes them want to know more , said outside the conference Edouard Hannezo , 22 years old , one of the organisers of this day that takes its name from the one given by the students to the fish in the school 's pond .	4.4
